date,store,item,inventory_position,reorder_point,target_inventory,recommended_order_qty,arrival_date
2018-01-27,1,8,500.7499999999998,505.89,994.0699999999999,494.0,2018-02-03
2018-02-04,1,8,494.4699999999998,527.26,1015.4399999999999,521.0,2018-02-11
2018-02-12,1,8,516.1499999999999,528.67,1016.8499999999999,501.0,2018-02-19
2018-02-20,1,8,509.86999999999983,526.76,1014.9399999999999,506.0,2018-02-27
2018-02-27,1,8,568.4599999999998,592.87,1081.05,513.0,2018-03-06
2018-03-06,1,8,567.9499999999999,605.63,1093.81,526.0,2018-03-13
2018-03-13,1,8,567.67,607.52,1095.71,529.0,2018-03-20
2018-03-20,1,8,568.49,607.95,1096.13,528.0,2018-03-27
2018-03-28,1,8,498.34,567.57,1055.75,558.0,2018-04-04
2018-01-01,1,9,296.86,319.41,645.96,350.0,2018-01-08
2018-01-10,1,9,315.41,319.12,645.6700000000001,331.0,2018-01-17
2018-01-19,1,9,306.55,323.35,649.9000000000001,344.0,2018-01-26
2018-01-28,1,9,295.75000000000006,336.96,663.51,368.0,2018-02-04
2018-02-06,1,9,310.39000000000004,348.25,674.8,365.0,2018-02-13
2018-02-14,1,9,344.75000000000006,348.52,675.07,331.0,2018-02-21
2018-02-22,1,9,341.0500000000001,357.84,684.3900000000001,344.0,2018-03-01
2018-03-01,1,9,383.2600000000001,406.05,732.61,350.0,2018-03-08
2018-03-08,1,9,383.24000000000007,401.44,727.99,345.0,2018-03-15
2018-03-15,1,9,382.8500000000001,401.28,727.83,345.0,2018-03-22
2018-03-22,1,9,382.6000000000001,401.12,727.6800000000001,346.0,2018-03-29
2018-03-30,1,9,331.2700000000001,382.61,709.1600000000001,378.0,2018-04-06
2018-01-01,1,10,423.66999999999996,478.51,945.97,523.0,2018-01-08
2018-01-10,1,10,438.27,489.16,956.62,519.0,2018-01-17
2018-01-18,1,10,486.9499999999999,491.84,959.3,473.0,2018-01-25
2018-01-26,1,10,481.28999999999996,498.26,965.73,485.0,2018-02-02
2018-02-03,1,10,474.29999999999995,523.46,990.9200000000001,517.0,2018-02-10
2018-02-11,1,10,468.0999999999999,526.31,993.7700000000001,526.0,2018-02-18
2018-02-19,1,10,493.46999999999997,523.47,990.9300000000001,498.0,2018-02-26
2018-02-26,1,10,545.26,582.35,1049.81,505.0,2018-03-05
2018-03-05,1,10,545.1899999999999,604.53,1071.99,527.0,2018-03-12
2018-03-11,1,10,605.0799999999999,609.43,1076.8899999999999,472.0,2018-03-18
2018-03-18,1,10,544.91,604.35,1071.8200000000002,527.0,2018-03-25
2018-03-26,1,10,484.71000000000004,544.7,1012.1600000000001,528.0,2018-04-02
2018-01-01,1,11,403.02000000000004,435.62,879.35,477.0,2018-01-08
2018-01-10,1,11,420.14000000000016,433.36,877.09,457.0,2018-01-17
2018-01-19,1,11,411.73000000000013,440.28,884.01,473.0,2018-01-26
2018-01-28,1,11,399.0000000000002,455.56,899.29,501.0,2018-02-04
2018-02-06,1,11,418.0900000000002,468.35,912.08,494.0,2018-02-13
2018-02-14,1,11,464.08000000000027,472.98,916.72,453.0,2018-02-21
2018-02-22,1,11,460.8200000000003,481.74,925.47,465.0,2018-03-01
2018-03-01,1,11,516.9200000000002,531.5,975.23,459.0,2018-03-08
2018-03-08,1,11,517.2600000000002,535.33,979.0600000000001,462.0,2018-03-15
2018-03-15,1,11,516.7800000000002,540.52,984.26,468.0,2018-03-22
2018-03-22,1,11,517.1000000000003,535.12,978.85,462.0,2018-03-29
2018-03-30,1,11,445.89000000000016,516.59,960.32,515.0,2018-04-06
2018-01-01,1,12,403.59,446.56,890.7,488.0,2018-01-08
2018-01-10,1,12,422.41999999999996,443.94,888.08,466.0,2018-01-17
2018-01-19,1,12,410.17999999999995,444.93,889.08,479.0,2018-01-26
2018-01-27,1,12,460.32,461.31,905.46,446.0,2018-02-03
2018-02-04,1,12,453.44,478.15,922.3000000000001,469.0,2018-02-11
2018-02-12,1,12,473.53999999999996,487.08,931.22,458.0,2018-02-19
2018-02-20,1,12,466.00999999999993,479.93,924.07,459.0,2018-02-27
2018-02-27,1,12,519.8299999999999,539.81,983.96,465.0,2018-03-06
2018-03-06,1,12,519.7599999999999,547.2,991.3499999999999,472.0,2018-03-13
2018-03-13,1,12,519.2999999999998,548.85,993.0,474.0,2018-03-20
2018-03-20,1,12,519.1899999999998,546.62,990.76,472.0,2018-03-27
2018-03-28,1,12,456.2599999999998,518.91,963.06,507.0,2018-04-04
2018-01-01,1,13,485.44999999999993,530.53,1065.7599999999998,581.0,2018-01-08
2018-01-10,1,13,507.2099999999999,528.94,1064.17,557.0,2018-01-17
2018-01-19,1,13,488.9799999999998,528.84,1064.07,576.0,2018-01-26
2018-01-28,1,13,476.1199999999998,555.81,1091.04,615.0,2018-02-04
2018-02-05,1,13,565.7099999999998,579.67,1114.8999999999999,550.0,2018-02-12
2018-02-13,1,13,557.5899999999999,577.03,1112.25,555.0,2018-02-20
2018-02-21,1,13,557.2199999999998,578.06,1113.2799999999997,557.0,2018-02-28
2018-02-28,1,13,622.3799999999998,663.52,1198.7399999999998,577.0,2018-03-07
2018-03-07,1,13,622.0799999999997,672.26,1207.48,586.0,2018-03-14
2018-03-14,1,13,622.0499999999996,668.92,1204.15,583.0,2018-03-21
2018-03-21,1,13,622.3599999999994,667.04,1202.2599999999998,580.0,2018-03-28
2018-03-29,1,13,539.5599999999994,621.44,1156.67,618.0,2018-04-05
2018-01-01,1,14,339.08,375.22,749.29,411.0,2018-01-08
2018-01-10,1,14,355.59999999999997,380.63,754.71,400.0,2018-01-17
2018-01-19,1,14,340.76,386.06,760.14,420.0,2018-01-26
2018-01-27,1,14,385.75,396.71,770.79,386.0,2018-02-03
2018-02-04,1,14,379.39,409.46,783.53,405.0,2018-02-11
2018-02-12,1,14,397.69999999999993,412.89,786.97,390.0,2018-02-19
2018-02-20,1,14,390.8,416.36,790.44,400.0,2018-02-27
2018-02-27,1,14,436.86,469.03,843.11,407.0,2018-03-06
2018-03-06,1,14,437.26000000000005,476.74,850.81,414.0,2018-03-13
2018-03-13,1,14,436.97,481.95,856.03,420.0,2018-03-20
2018-03-20,1,14,437.45000000000005,477.89,851.96,415.0,2018-03-27
2018-03-28,1,14,382.14000000000004,436.51,810.5799999999999,429.0,2018-04-04
2018-01-01,1,15,508.58,560.97,1120.76,613.0,2018-01-08
2018-01-10,1,15,532.68,547.87,1107.6599999999999,575.0,2018-01-17
2018-01-19,1,15,518.2299999999999,554.07,1113.86,596.0,2018-01-26
2018-01-28,1,15,496.1299999999999,575.64,1135.4299999999998,640.0,2018-02-04
2018-02-05,1,15,594.3199999999998,597.57,1157.36,564.0,2018-02-12
2018-02-13,1,15,585.7799999999999,599.95,1159.74,574.0,2018-02-20
2018-02-21,1,15,584.7499999999998,597.52,1157.31,573.0,2018-02-28
2018-02-28,1,15,652.0499999999998,690.51,1250.3,599.0,2018-03-07
2018-03-07,1,15,652.3699999999998,687.25,1247.03,595.0,2018-03-14
2018-03-14,1,15,651.9499999999998,688.09,1247.8799999999999,596.0,2018-03-21
2018-03-21,1,15,651.6999999999998,689.22,1249.0,598.0,2018-03-28
2018-03-29,1,15,567.55,651.6,1211.3899999999999,644.0,2018-04-05
2018-01-01,1,16,150.01000000000002,167.66,332.03,183.0,2018-01-08
2018-01-10,1,16,159.8,175.23,339.59000000000003,180.0,2018-01-17
2018-01-19,1,16,157.04,176.17,340.54,184.0,2018-01-26
2018-01-27,1,16,174.26999999999998,181.32,345.69000000000005,172.0,2018-02-03
2018-02-04,1,16,170.58999999999997,186.88,351.24,181.0,2018-02-11
2018-02-12,1,16,179.72999999999993,186.89,351.25,172.0,2018-02-19
2018-02-20,1,16,176.32999999999993,189.62,353.98,178.0,2018-02-27
2018-02-27,1,16,196.99999999999994,213.58,377.94000000000005,181.0,2018-03-06
2018-03-06,1,16,196.6899999999999,216.47,380.84000000000003,185.0,2018-03-13
2018-03-13,1,16,197.49999999999991,220.24,384.61,188.0,2018-03-20
2018-03-20,1,16,197.54999999999993,218.36,382.72,186.0,2018-03-27
2018-03-28,1,16,172.70999999999992,196.61,360.97,189.0,2018-04-04
2018-01-01,1,17,191.55,214.25,424.81,234.0,2018-01-08
2018-01-10,1,17,203.28,215.14,425.70000000000005,223.0,2018-01-17
2018-01-19,1,17,198.66,215.09,425.65,227.0,2018-01-26
2018-01-27,1,17,220.85000000000002,223.3,433.86,214.0,2018-02-03
2018-02-04,1,17,217.54000000000002,233.92,444.49,227.0,2018-02-11
2018-02-12,1,17,228.27000000000004,233.62,444.18,216.0,2018-02-19
2018-02-20,1,17,223.78000000000003,233.25,443.81,221.0,2018-02-27
2018-02-27,1,17,250.31000000000003,264.5,475.06,225.0,2018-03-06
2018-03-06,1,17,249.58000000000004,265.29,475.84999999999997,227.0,2018-03-13
2018-03-13,1,17,250.08,270.67,481.22999999999996,232.0,2018-03-20
2018-03-20,1,17,250.19,270.33,480.90000000000003,231.0,2018-03-27
2018-03-28,1,17,219.26000000000002,249.34,459.9,241.0,2018-04-04
2018-01-01,1,18,487.20000000000005,551.14,1087.83,601.0,2018-01-08
2018-01-10,1,18,513.2000000000002,537.1,1073.79,561.0,2018-01-17
2018-01-19,1,18,495.97000000000014,543.71,1080.4,585.0,2018-01-26
2018-01-27,1,18,555.11,557.93,1094.6200000000001,540.0,2018-02-03
2018-02-04,1,18,542.8500000000001,590.03,1126.72,584.0,2018-02-11
2018-02-12,1,18,571.0500000000001,586.33,1123.02,552.0,2018-02-19
2018-02-20,1,18,560.6200000000001,585.31,1122.0,562.0,2018-02-27
2018-02-27,1,18,626.5,663.82,1200.5100000000002,575.0,2018-03-06
2018-03-06,1,18,626.8700000000001,678.77,1215.46,589.0,2018-03-13
2018-03-13,1,18,626.2900000000001,677.59,1214.2800000000002,588.0,2018-03-20
2018-03-20,1,18,625.9000000000001,672.45,1209.14,584.0,2018-03-27
2018-03-28,1,18,548.8100000000001,625.9,1162.5900000000001,614.0,2018-04-04
2018-01-01,1,19,234.14999999999998,261.7,519.72,286.0,2018-01-08
2018-01-10,1,19,247.55999999999995,266.34,524.36,277.0,2018-01-17
2018-01-19,1,19,242.40999999999997,263.78,521.8,280.0,2018-01-26
2018-01-27,1,19,270.65999999999997,272.05,530.0699999999999,260.0,2018-02-03
2018-02-04,1,19,265.91999999999996,287.95,545.97,281.0,2018-02-11
2018-02-12,1,19,278.6,288.69,546.72,269.0,2018-02-19
2018-02-20,1,19,274.62,287.78,545.8,272.0,2018-02-27
2018-02-27,1,19,305.84,325.99,584.02,279.0,2018-03-06
2018-03-06,1,19,305.84,328.64,586.66,281.0,2018-03-13
2018-03-13,1,19,305.19999999999993,333.65,591.67,287.0,2018-03-20
2018-03-20,1,19,305.55999999999995,332.76,590.78,286.0,2018-03-27
2018-03-28,1,19,268.15,305.0,563.03,295.0,2018-04-04
2018-01-01,1,20,273.03999999999996,318.67,621.49,349.0,2018-01-08
2018-01-09,1,20,318.8399999999999,322.89,625.71,307.0,2018-01-16
2018-01-17,1,20,318.58999999999986,321.96,624.78,307.0,2018-01-24
2018-01-25,1,20,317.3499999999998,327.21,630.03,313.0,2018-02-01
2018-02-01,1,20,354.7699999999998,355.32,658.14,304.0,2018-02-08
2018-02-08,1,20,355.0799999999998,360.24,663.0699999999999,308.0,2018-02-15
2018-02-15,1,20,354.45999999999987,356.74,659.56,306.0,2018-02-22
2018-02-22,1,20,355.34999999999985,365.32,668.14,313.0,2018-03-01
2018-02-28,1,20,407.7799999999998,414.8,717.62,310.0,2018-03-07
2018-03-06,1,20,401.5899999999998,412.91,715.74,315.0,2018-03-13
2018-03-12,1,20,403.14999999999975,418.25,721.0699999999999,318.0,2018-03-19
2018-03-18,1,20,395.8399999999998,416.26,719.0899999999999,324.0,2018-03-25
2018-03-26,1,20,314.62999999999977,354.46,657.28,343.0,2018-04-02
2018-01-01,1,21,230.92,258.95,513.11,283.0,2018-01-08
2018-01-10,1,21,243.42000000000002,254.44,508.61,266.0,2018-01-17
2018-01-19,1,21,239.82999999999996,254.37,508.54,269.0,2018-01-26
2018-01-28,1,21,232.5299999999999,270.48,524.64,293.0,2018-02-04
2018-02-05,1,21,274.4499999999999,277.12,531.29,257.0,2018-02-12
2018-02-13,1,21,269.8199999999999,279.55,533.72,264.0,2018-02-20
2018-02-21,1,21,269.55999999999983,280.05,534.21,265.0,2018-02-28
2018-02-28,1,21,300.55999999999983,321.37,575.54,275.0,2018-03-07
2018-03-07,1,21,300.2499999999999,322.62,576.79,277.0,2018-03-14
2018-03-14,1,21,300.6699999999999,329.12,583.29,283.0,2018-03-21
2018-03-21,1,21,300.6099999999999,325.79,579.96,280.0,2018-03-28
2018-03-29,1,21,261.1299999999998,300.25,554.4100000000001,294.0,2018-04-05
2018-01-01,1,22,466.30999999999995,512.98,1024.8200000000002,559.0,2018-01-08
2018-01-10,1,22,483.14,510.05,1021.8900000000001,539.0,2018-01-17
2018-01-19,1,22,468.02,516.92,1028.7600000000002,561.0,2018-01-26
2018-01-27,1,22,525.89,532.7,1044.54,519.0,2018-02-03
2018-02-04,1,22,517.7699999999999,564.91,1076.75,559.0,2018-02-11
2018-02-12,1,22,541.8099999999998,562.93,1074.77,533.0,2018-02-19
2018-02-20,1,22,533.5899999999998,560.76,1072.6,540.0,2018-02-27
2018-02-27,1,22,596.6399999999998,637.33,1149.17,553.0,2018-03-06
2018-03-06,1,22,596.1399999999998,647.81,1159.65,564.0,2018-03-13
2018-03-13,1,22,596.1599999999997,647.94,1159.7800000000002,564.0,2018-03-20
2018-03-20,1,22,596.0399999999997,646.32,1158.1599999999999,563.0,2018-03-27
2018-03-28,1,22,522.4199999999997,595.67,1107.5100000000002,586.0,2018-04-04
2018-01-01,1,23,169.17999999999998,185.26,371.18,203.0,2018-01-08
2018-01-10,1,23,182.28999999999996,189.27,375.19,193.0,2018-01-17
2018-01-19,1,23,177.50999999999993,188.93,374.85,198.0,2018-01-26
2018-01-28,1,23,171.88999999999996,197.63,383.54999999999995,212.0,2018-02-04
2018-02-05,1,23,203.36999999999998,203.93,389.85,187.0,2018-02-12
2018-02-13,1,23,200.36999999999998,203.07,388.99,189.0,2018-02-20
2018-02-21,1,23,200.11999999999998,203.51,389.43,190.0,2018-02-28
2018-02-28,1,23,222.49999999999994,235.41,421.33,199.0,2018-03-07
2018-03-07,1,23,221.97999999999996,234.02,419.94,198.0,2018-03-14
2018-03-14,1,23,221.85999999999996,235.19,421.11,200.0,2018-03-21
2018-03-21,1,23,222.56999999999996,235.4,421.32,199.0,2018-03-28
2018-03-29,1,23,193.93,221.79,407.71,214.0,2018-04-05
2018-01-01,1,24,383.79,402.83,823.25,440.0,2018-01-08
2018-01-11,1,24,359.41999999999996,400.02,820.45,462.0,2018-01-18
2018-01-20,1,24,390.11999999999995,396.08,816.5,427.0,2018-01-27
2018-01-29,1,24,399.88,422.69,843.1200000000001,444.0,2018-02-05
2018-02-07,1,24,397.53000000000003,433.57,854.0,457.0,2018-02-14
2018-02-16,1,24,384.92999999999995,434.06,854.48,470.0,2018-02-23
2018-02-24,1,24,433.05999999999995,464.44,884.8700000000001,452.0,2018-03-03
2018-03-03,1,24,491.25999999999993,495.67,916.0899999999999,425.0,2018-03-10
2018-03-10,1,24,491.24999999999994,497.86,918.28,428.0,2018-03-17
2018-03-17,1,24,492.0599999999999,496.73,917.1500000000001,426.0,2018-03-24
2018-03-24,1,24,491.98999999999995,496.96,917.3900000000001,426.0,2018-03-31
2018-01-01,1,25,463.2699999999999,521.15,1032.86,570.0,2018-01-08
2018-01-10,1,25,483.9100000000001,515.62,1027.33,544.0,2018-01-17
2018-01-19,1,25,471.0700000000001,515.13,1026.83,556.0,2018-01-26
2018-01-27,1,25,526.2800000000001,530.96,1042.6599999999999,517.0,2018-02-03
2018-02-04,1,25,515.9400000000002,562.54,1074.2399999999998,559.0,2018-02-11
2018-02-12,1,25,542.0700000000002,558.64,1070.34,529.0,2018-02-19
2018-02-20,1,25,533.4900000000001,557.41,1069.11,536.0,2018-02-27
2018-02-27,1,25,595.54,632.36,1144.06,549.0,2018-03-06
2018-03-06,1,25,595.6500000000001,639.91,1151.6100000000001,556.0,2018-03-13
2018-03-13,1,25,595.2100000000002,636.74,1148.44,554.0,2018-03-20
2018-03-20,1,25,595.9300000000002,641.22,1152.92,557.0,2018-03-27
2018-03-28,1,25,521.7000000000002,595.13,1106.84,586.0,2018-04-04
2018-01-01,1,26,275.71000000000004,318.59,623.5,348.0,2018-01-08
2018-01-10,1,26,289.44,321.56,626.47,338.0,2018-01-17
2018-01-18,1,26,321.46999999999997,325.56,630.47,310.0,2018-01-25
2018-01-26,1,26,319.61,332.31,637.23,318.0,2018-02-02
2018-02-03,1,26,311.58,352.0,656.9200000000001,346.0,2018-02-10
2018-02-11,1,26,308.7199999999999,352.47,657.39,349.0,2018-02-18
2018-02-19,1,26,325.8999999999999,352.62,657.54,332.0,2018-02-26
2018-02-26,1,26,359.6099999999999,393.24,698.1600000000001,339.0,2018-03-05
2018-03-04,1,26,399.77999999999986,406.21,711.13,312.0,2018-03-11
2018-03-11,1,26,359.90999999999997,409.28,714.2,355.0,2018-03-18
2018-03-18,1,26,359.96,406.56,711.47,352.0,2018-03-25
2018-03-26,1,26,319.68999999999994,359.26,664.1800000000001,345.0,2018-04-02
2018-01-01,1,27,127.76,144.12,284.96000000000004,158.0,2018-01-08
2018-01-10,1,27,139.27999999999997,146.95,287.78999999999996,149.0,2018-01-17
2018-01-19,1,27,134.90999999999997,148.53,289.37,155.0,2018-01-26
2018-01-27,1,27,150.7,153.26,294.1,144.0,2018-02-03
2018-02-04,1,27,147.61,157.31,298.15,151.0,2018-02-11
2018-02-13,1,27,138.38000000000005,154.58,295.41999999999996,158.0,2018-02-20
2018-02-21,1,27,153.48000000000002,155.39,296.23,143.0,2018-02-28
2018-02-28,1,27,169.34,181.79,322.63,154.0,2018-03-07
2018-03-07,1,27,169.79999999999998,182.18,323.02,154.0,2018-03-14
2018-03-14,1,27,169.87,181.68,322.52,153.0,2018-03-21
2018-03-21,1,27,169.44,180.43,321.27,152.0,2018-03-28
2018-03-29,1,27,147.83999999999997,169.07,309.90999999999997,163.0,2018-04-05
2018-01-01,1,28,508.41999999999996,556.44,1115.26,607.0,2018-01-08
2018-01-10,1,28,529.1700000000001,560.6,1119.42,591.0,2018-01-17
2018-01-19,1,28,510.49,557.28,1116.1,606.0,2018-01-26
2018-01-28,1,28,494.7599999999999,579.76,1138.57,644.0,2018-02-04
2018-02-05,1,28,592.6699999999998,598.43,1157.24,565.0,2018-02-12
2018-02-13,1,28,583.8299999999999,600.68,1159.5,576.0,2018-02-20
2018-02-21,1,28,584.41,599.63,1158.4499999999998,575.0,2018-02-28
2018-02-28,1,28,650.8900000000001,695.39,1254.1999999999998,604.0,2018-03-07
2018-03-07,1,28,650.6300000000001,686.97,1245.79,596.0,2018-03-14
2018-03-14,1,28,650.7700000000001,688.37,1247.19,597.0,2018-03-21
2018-03-21,1,28,650.5200000000001,689.1,1247.92,598.0,2018-03-28
2018-03-29,1,28,565.6200000000001,649.89,1208.71,644.0,2018-04-05
2018-01-01,1,29,401.45,455.53,899.05,498.0,2018-01-08
2018-01-10,1,29,415.16999999999985,453.71,897.23,483.0,2018-01-17
2018-01-19,1,29,406.53999999999985,448.98,892.49,486.0,2018-01-26
2018-01-27,1,29,456.5599999999999,465.72,909.23,453.0,2018-02-03
2018-02-04,1,29,448.51999999999987,487.77,931.29,483.0,2018-02-11
2018-02-12,1,29,470.6399999999998,491.73,935.25,465.0,2018-02-19
2018-02-20,1,29,462.5199999999998,486.29,929.8,468.0,2018-02-27
2018-02-27,1,29,517.4299999999997,550.64,994.16,477.0,2018-03-06
2018-03-06,1,29,516.9899999999997,555.43,998.94,482.0,2018-03-13
2018-03-13,1,29,516.7599999999998,561.02,1004.54,488.0,2018-03-20
2018-03-20,1,29,516.9299999999997,555.38,998.89,482.0,2018-03-27
2018-03-28,1,29,452.00999999999976,516.73,960.25,509.0,2018-04-04
2018-01-01,1,30,232.04000000000002,252.39,507.18999999999994,276.0,2018-01-08
2018-01-10,1,30,246.49,253.44,508.24,262.0,2018-01-17
2018-01-19,1,30,240.98000000000002,247.77,502.57,262.0,2018-01-26
2018-01-28,1,30,234.48000000000005,258.39,513.1899999999999,279.0,2018-02-04
2018-02-06,1,30,245.45000000000007,269.4,524.1999999999999,279.0,2018-02-13
2018-02-15,1,30,240.43000000000012,270.88,525.67,286.0,2018-02-22
2018-02-23,1,30,267.9400000000001,282.78,537.5699999999999,270.0,2018-03-02
2018-03-02,1,30,301.58000000000015,311.34,566.14,265.0,2018-03-09
2018-03-09,1,30,301.6500000000002,311.54,566.3299999999999,265.0,2018-03-16
2018-03-16,1,30,301.53000000000014,315.51,570.31,269.0,2018-03-23
2018-03-23,1,30,301.4300000000002,318.02,572.81,272.0,2018-03-30
2018-03-31,1,30,258.6500000000002,301.21,556.01,298.0,2018-04-07
2018-01-01,1,31,339.34,366.96,739.15,400.0,2018-01-08
2018-01-10,1,31,355.26,367.55,739.73,385.0,2018-01-17
